,text,retweet,likes
0,"RT : L'esercito russo ha confiscato quattordici tonnellate di cibo e medicinali destinati ai civili di Melitopol, a metà fra M",40,0
1,RT days 82: Borgonovo : Biden vuole una nuova Afghanistan in Ucraina. DrittoeRovescio Borgonovo Putin Biden guerraucraina gu,51,0
2,... Putin accetterà anche la grivnia ucraina come pagamento per il gas russo UkraineRussiaWar Sanzioni Russia 1aprile,0,0
3,"RT : Come Putin ha perculato Draghi nessuno mai. Il Biden italiano, gongolante, aveva appena finito di dire che possiamo pagare",323,0
4,"RT : Ucraina: Mosca, figlio Biden implicato in agenti patogeni guerra ucraina RussianUkrainianWar UkraineRussianWar r",175,0
5,"RT official: ""E allora Bush in Iraq? Se processiamo Putin, processiamo anche lui"": MicheleSantoro contro gli Usa a PiazzaPuli",10,0
6,"RT : Dal 1945, l Europa è a fianco degli Usa perché hanno portato stabilità e benessere in Occidente. Nel discorso sul pagamento",24,0
7,RT : 3 punti la Russia fa parte dell Europa come l Ucraina: vogliamo costruirle attorno un muro? è Biden che deve port,14,0
8,"I soldi per le spesemilitari lo capiscono anche i Bambini servono agli Italiani a non fare la fine degli Ucraini massacrati dall'amicone del , Putin.",0,0
9,RT : .....che cosa e' il Genio ...... dimaio Draghi gas Putin rubli propagandalive Satrizio,2,0
10,"RT days 82: Che intervento di Belpietro, migliore giornalista,3 spanne sopra tutti . 1 2 DrittoeRovescio Belpietro Putin B",71,0
12,RT : Il Pinocchio d Italia (già VileAffarista ) aveva detto Ho parlato con Putin è il pagamento di gas in rubli verrà spostat,9,0
13,"RT : Stamattina, Draghi : ""Le sanzioni stanno funzionando"". Putin : ""Da domani il gas russo si pagherà in rubli altriment",27,0
14,"RT : Dopo la figuretta in Polonia, Salvini sui social non parla più di guerra, ma torna ai vecchi cavalli di battaglia. Come",1,0
15,"RT : Putin firma il decreto contro i Paesi ostili: ""Aprano conti in rubli se vogliono il gas russo"". O rubli o niente gas",89,0
16,"Alla fine, dopo le minacce, è arrivato un ultimatum perfettamente nello stile di Putin: ambiguo, sfaccettato, così equivoco che potrebbe mettere fine alle forniture di gas all Europa o rivelarsi solo un modo di cambiare tutto perché tutto rimanga com è https: t.co HJl5dGIDSj",0,2
18,"RT days 82: Santoro : Processiamo Putin, ma allora processiamo pure Bush...a Baghdad bambini morti bruciati dai missili. Piazzapu",270,0
19,RT : gas putin russia rubli Il trucco dello zar per blindare Gazprom e aggirare le sanzioni: si versano euro,1,0
21,RT : A Putin bisogna fargli sapere subito che a) Le sanzioni saranno sempre più dure e rimarranno fino a quando l'ultimo,20,0
22,"Dopo la figuretta in Polonia, Salvini sui social non parla più di guerra, ma torna ai vecchi cavalli di battaglia. Come quello che scivola su una merda e distrae i presenti fingendo di raccogliere qualcosa. salvini Polonia accise guerra Putin Flattax immigrati 1aprile",1,1
23,"RT it: RUSSIA, FRONTE INTERNO A San Pietroburgo la 77enne YlenaOsipova continua la sua protesta solitaria contro la guerra",3,0
26,RT days 82: In omaggio un altro grande intervento DrittoeRovescio Borgonovo Putin Biden guerraucraina guerra https: t.co B,13,0
27,RT : Quando devi pagare in rubli gas Putin Guerra https: t.co 4UiMllMIOo,216,0
30,putin chiede a zelensky di voltarsi in favore di camera,0,0
31,"Dopo più di 1 mese di guerra in Ucraina non mi stupisco di notare come TUTTI i poveri coglioni novax NoGreenPass siano pro Putin. Allucinante la coincidenza, anzi no a ben pensarci; se uno è un idiota non perde occasione per dimostrarlo sempre e comunque. Guerra",0,0
34,Draghi ha telefonato a Putin e l unica cosa che abbiamo ottenuto è che ora la fornitura del gas dobbiamo pagarla in rubli. DraghiVattene RenziFaiSchifo NoWar NoWarInUkraine Peace 1aprile,0,0
36,RT : Pakistan Forze straniere vogliono estromettermi https: t.co Vru9iEFrJX Imran Khan ha respinto le rich,1,0
37,Putin da Draghi pretende il pagamento del gas in rubli e giustamente:io i vostri parlamentari li ho pagati così... MoneyForNobody MetanoMischiatoConNiente GasInCambioDiArie StopPutinNOW ScambismoCommerciale,0,0
40,RT : Putin ha firmato il decreto presidenziale sulle regole del commercio di gas naturale russo con i cosiddetti Paesi,9,0
41,"RT days 82: Che intervento di Belpietro, migliore giornalista,3 spanne sopra tutti . 2 2 DrittoeRovescio Belpietro Putin B",37,0
45,"RT : ""oCULISTA"" di oculista z zelensky putin russia war crisirussiaucraina guerra scuderi sputnink carto",1,0
47,Pakistan Forze straniere vogliono estromettermi https: t.co Vru9iEFrJX Imran Khan ha respinto le richieste di dimissioni e ha accusato un paese occidentale di provare ad estrometterlo per la sua vicinanza a Putin Domenica è atteso da voto di sfiducia ImranKhan,1,0
48,"RT : Putin: Nessuno ci vende niente gratis, e noi nemmeno faremo opere di carità. Ciò significa che i contratti esistenti, in cas",92,0
49,"Putin sempre più solo e mal consigliato: ""Non parla più nemmeno ai falchi"". Dovrebbe limitarsi a stare al parco a parlare ai piccioni. Russia Ucraina Rasoriate",0,0
52,"RT : Draghi: le sanzioni funzionano. Alla pace si arriva se l'Ucraina si difende, altrimenti non si arriva alla pace. ov",97,0
54,"RT : Eh, ma Zelensky prima faceva il comico... Vuoi mettere con Putin che fa il macellaio da sempre? Tutto un altro curriculu",12,0
55,RT : putin da domani vuole essere pagato il gas in rubli. Gli occidentali si indignano sostenendo che non lo prevede il contratto,3,0
56,"RT : Irrigidimenti attuali M5S , vedi ex premier Conte e ex sindaca Raggi, sulla guerra di Putin , non hanno a che fare con posizi",67,0
57,"Secondo una indagine investigativa di Proekt, Vladimir Putin soffrirebbe di un cancro alla tiroide: https: t.co rew8zTk1v3 Putin Russia",0,2
58,RT : Gas dalla Russia: Gazprom ha interrotto le spedizioni in Germania attraverso il gasdotto Yamal Europe. Lo riporta Bloom,1,0
59,RT : andata più o meno così Draghi Putin https: t.co sEJUssQrvz,63,0
63,RT : Berlusconi: Senti Vladi la Ruby ormai è invecchiata non la sento nemmeno più. Non è meglio una ventenne? Putin : Ti ho,8,0
65,RT : Finalmente Salvini e Meloni parlano chiaramente di Putin prendendo le distanze dalla sua posizione violenta e condannan,1,0
67,"RT : Il Covid non è altro che influenza, bronchite o polmonite. E la guerra in Ucraina è tutta una farsa perché quella vera s",5,0
68,La logica del giornalismo italiano...non la capisco... Noi applichiamo le sanzioni a Putin per cacchi che fondamentalmente non sono nostri....ricordiamoci le bombe all'Uranio USA in Serbia ...e sono cosa buona e giusta Putin mette le sanzioni a noi sul gas ed è un ricatto?,0,0
69,"RT : Sono dai social, ok, ma è curioso leggere quali potrebbero essere le reazioni dei russi all'attacco Ucraina su Belgorod O",1,0
70,"RT : Gas pagato in rubli, Putin smentisce Draghi. Il premier assicura: pagheremo il gas ancora in euro. Ma il presidente r",13,0
